Managers & Administrators (Including Working Proprietors),45-49,45.3,40.3,45,44,40.3,43.3,40.7,41.4,42.3,43.3,41.3,43.5,39.1,38.7,36.3,34.1,29.4,34,31.6,28.9,29.9,25.7
Professionals,45-49,44.2,36.7,35.3,30.5,30.3,27.7,25.7,22.9,23.7,22.6,23.8,19.5,21.8,18.7,19.3,16.2,11.3,11,11.7,11.9,10.2,8.1
Associate Professionals & Technicians,45-49,28.2,25.1,26.7,28.8,28.1,27.4,24.5,23,21.8,22,21.5,20.2,20.7,20.3,20.7,18.7,15.9,19.1,15.7,15.8,15.2,15.4
Clerical Support Workers,45-49,4.3,4.2,3.8,5,4.7,5.3,5.5,6.2,5.9,6.1,6.3,6.2,5.9,6.4,7.6,6.8,7.3,7.1,6.7,7,6.6,6.3
Service & Sales Workers,45-49,8.9,7.5,9.2,10.9,10,9.4,10.4,10.6,10.8,12.6,14.2,11.7,13.3,13.4,13.9,15.2,16.9,13.7,13.5,12.1,12.7,12.6
Craftsmen & Related Trade Workers,45-49,4.7,4.6,5.8,6.1,6.8,7.8,8.1,10.3,9.5,11.8,13.5,15.9,15.1,15.1,16.7,16.7,18.8,17.8,17.8,17.7,15.1,15.6
Plant & Machine Operators & Assemblers,45-49,11.6,11.8,14.8,15.2,13.5,15.4,14.2,15.7,14.2,18.9,18.4,22.7,21.9,23.1,25.1,26.9,26.3,25,25.7,23.7,25.5,23.4
"Cleaners, Labourers & Related Workers",45-49,4.1,4.1,4,3.6,4.5,4.9,5.1,5.8,6.1,7.1,6.4,8.3,10.3,8.9,9.1,10.3,8.7,10,10.5,9.4,9.3,8.1
Others,45-49,1.3,0.8,1.2,1.1,1.4,0.8,1,1.3,1.6,1.4,1.4,1.7,1.4,1.7,1.3,1.6,1.7,1.5,1.3,1,1.2,1.3
Managers & Administrators (Including Working Proprietors),50-54,38.1,31.3,33.5,35.8,33.5,33.9,31.3,35.9,35,36.5,36.1,34.2,32.5,31.2,28.5,28.3,22.2,22.7,24.7,22.9,22,18.3
Professionals,50-54,31.7,24.5,25.3,24.1,21.7,19.6,18.4,18.2,16,14.4,14.1,12.9,14,12.8,12.1,9.3,7.3,9.2,7.4,7.3,8.4,6.2
Associate Professionals & Technicians,50-54,24.8,20.3,23,23.4,24.9,22.5,23.7,21.8,22.1,20.5,17.4,19.2,18,15.2,16.5,14.2,11.4,13.1,11.2,12.5,11.9,10.2
Clerical Support Workers,50-54,3.4,3.7,5,5,5.8,6.2,7,7,7.1,7.5,7.2,6.9,5.4,7.2,7.1,6.4,7,5.8,6.4,5.6,5.8,4.8
Service & Sales Workers,50-54,10.2,9.1,9.8,11.2,14.3,11.7,13,14.8,13,12.2,13,12.8,11.9,12,13.9,15,14.4,12.6,11.6,12.9,12.3,11.5
Craftsmen & Related Trade Workers,50-54,4.7,5.4,7.4,10.2,10.3,12.5,14,13.4,12.9,14.5,16.1,14.7,13.6,15.4,16.1,16.1,15.3,13.6,13.6,13.1,11.2,10.6
Plant & Machine Operators & Assemblers,50-54,14.7,13.3,20,20.3,20.3,23.7,26.3,24.6,25.7,27.8,25.5,27.9,25.9,26.7,24.9,25.7,24.3,23,20.3,20.8,19.8,17.5
"Cleaners, Labourers & Related Workers",50-54,5.3,6.1,6.6,6.7,8.3,8.3,8.2,8.7,10.2,8.9,10.2,9.2,10.3,10.5,10.5,12.3,7.3,9.9,9.4,8.3,8.2,7.5
Others,50-54,1,0.2,0.9,0.7,1.4,0.7,1.2,1.4,1.1,0.7,1.1,0.9,0.4,1.1,0.6,0.6,0.9,0.7,0.6,0.7,0.4,0.5
Managers & Administrators (Including Working Proprietors),55-59,29.3,25.6,26.3,25.7,25.3,27.3,25,28.4,26.3,25,24,23.7,22.5,18.8,20,17.7,13.1,14.2,13.7,10.2,8.1,8.1
Professionals,55-59,21.5,17.5,17.8,15.3,15.7,11.2,11.7,9.5,10.5,11.9,9.3,7.3,10,8.5,8.2,8.4,4.5,5.6,5,5.4,3.6,3.2
Associate Professionals & Technicians,55-59,24.7,20.7,19.8,20.5,19.4,17.4,20.4,18.1,16.2,15.8,15.8,14.8,13.3,11.2,10.6,8.7,6.3,7.2,5.5,4.7,3.6,3.5
Clerical Support Workers,55-59,5.2,5.1,6.5,5.6,6.4,5.9,6.8,7,7.1,6.1,6.2,5.4,4.3,5.2,5.3,4.8,4.2,3.7,3.7,3.1,2.4,2.6
Service & Sales Workers,55-59,13.8,11.8,12.5,12.9,13.5,10.7,13.7,12.8,11.6,11.3,12,10.8,11.1,10.8,10.9,11.4,11.4,9.3,9.3,7.8,6,6.5
Craftsmen & Related Trade Workers,55-59,7.6,8.3,10,11.2,10.8,11.4,11.1,12.4,13.6,12.4,13.9,12.5,11.9,10.5,9.7,11.6,9.1,8.1,6.9,5.6,4.7,5
Plant & Machine Operators & Assemblers,55-59,21.3,22.2,24,25.6,25.3,25.7,25.9,26.6,26.1,24.2,25.3,24.8,23.2,21.7,20.2,20.5,15.7,13.8,13,10.5,8.6,9
"Cleaners, Labourers & Related Workers",55-59,11.2,8.3,10.3,11,10.8,10.1,11.5,11.1,12.1,11.3,10.4,9.7,10.3,9.1,8.9,9.5,6.7,7.6,6,6.9,4.5,5.1
Others,55-59,0.6,0.8,1.1,1.1,0.9,0.8,0.6,0.5,0.8,0.3,0.5,0.4,0.5,0.4,0.2,0.4,0.4,0.2,0.1,0.4,0.4,0.2
Managers & Administrators (Including Working Proprietors),60-64,17.3,19.7,14.9,17.3,16.1,16.7,15.8,14.7,16.6,16.1,15,14.4,12.9,11,9.8,7.4,5,5.2,6.1,5.9,4.7,4.1
Professionals,60-64,14.7,11.7,9.7,8.3,8.6,6.9,6.6,6.5,6.5,7.2,6.1,4.7,5.8,3.9,3.4,2.8,1.4,2.1,1.9,2.2,2.2,1.4
Associate Professionals & Technicians,60-64,16.3,16.8,14.5,13.5,13.8,12.2,13.6,12.5,11.6,10.1,9.2,6.8,5.2,4.2,3.7,3.3,1.8,1.9,1.5,1.7,1.4,1.6
Clerical Support Workers,60-64,5.5,5.4,5.8,5.5,3.8,5.5,5.1,5.2,5.3,5,4.7,3.3,2.8,3.1,2.6,2.1,1.8,1.3,1.7,1.8,1.9,1.8
Service & Sales Workers,60-64,12.3,11.8,12.1,12.5,10.9,11.7,11.4,10.5,9.8,9.7,10.1,8.9,7.5,7.8,5.9,6.7,6,5.4,6.5,5.8,5.9,4.7
Craftsmen & Related Trade Workers,60-64,8.9,8.3,8.4,8.8,8.6,9.4,9.4,9.2,9.8,7.9,7.7,8.2,5.7,6.4,5.2,4.3,2.6,3.1,2.4,2.8,3.6,2.4
Plant & Machine Operators & Assemblers,60-64,23.8,24.2,24.2,23.5,24.1,24,22.5,22,21.4,16.4,17.3,16.1,13.9,13,11.9,9,6.2,6.8,5.8,6,6.5,5.6
"Cleaners, Labourers & Related Workers",60-64,12.3,11.7,11.1,11.4,11.4,9.4,11.9,10.1,11,10.3,9,8.9,7.3,7.8,7.1,7.3,4,5.3,5.3,4.9,4.5,4
Others,60-64,0.7,0.9,0.6,0.3,0.3,0.6,0.7,0.4,0.,0.3,0.2,0.1,0.2,0.3,0.2,0.1,0.2,0.,0.1,0.1,0.1,0.1
Managers & Administrators (Including Working Proprietors),65+,16.9,19.4,15.5,13.2,12,12.8,11.1,10.2,11.8,10.2,10.2,9.3,6.3,6.3,5.6,5.3,4.2,4.1,4,3.6,4,3.4
Professionals,65+,9.2,9.3,7.3,7.6,6.8,5.4,5.5,4,5.2,3.5,3.2,2.8,3.4,2.7,1.9,1.8,1,1,1.1,0.7,0.7,0.7
Associate Professionals & Technicians,65+,14.3,13.8,9.6,10.7,7.4,6,6.2,5.5,4.9,3.8,3.2,3.2,2.4,1.8,1.5,1,0.6,0.6,0.3,0.6,0.7,0.8
Clerical Support Workers,65+,6.7,6.6,5.8,6.3,6,5.5,4.6,4.4,4.9,3.6,2.2,2.7,2.4,2.2,1.7,1.7,1.5,1.4,1.2,1.5,1.3,1.1
Service & Sales Workers,65+,19.2,18.4,17.2,13.2,14.1,14,12.7,10.8,10.9,10.4,8.5,7.1,6.9,6.4,6.3,6.3,5.6,4.1,5.3,5.6,6.2,5.1
Craftsmen & Related Trade Workers,65+,7.7,8.5,8,7.1,7,6.2,6.2,5.6,5.9,4.5,4.4,4,2.7,3,2.4,2,1.4,1.6,1.2,1.4,1.4,1.2
Plant & Machine Operators & Assemblers,65+,25.4,21.2,20.4,20.1,16.9,16.5,15.4,13.8,12.2,11.5,9.1,8.6,5.6,6.5,5.9,5.4,3.3,3.4,3.4,3,2.3,2.5
"Cleaners, Labourers & Related Workers",65+,23.8,22.3,21.5,19.1,18.3,21.2,16.5,16.8,17.7,15.2,13.3,12,10.5,11,9.1,8.6,5,4.5,6.4,5.7,4.7,4
Others,65+,0.8,1.2,1.1,0.7,0.8,0.8,0.6,0.4,0.1,0.1,0.1,0.,0.2,0.,0.1,0.,0.1,0.,0.1,0.,0.,0.
